"As Of Date","Time Series","Value (millions)"
"2023-11-01","PDTIPSTOTC","4003"
"2023-11-01","PDTRAB-ALB","1191"
"2023-11-01","PDTRAB-ALBC","142"
"2023-11-01","PDTRAB-CC","75"
"2023-11-01","PDTRAB-CCC","22"
"2023-11-01","PDTRAB-OAB","703"
"2023-11-01","PDTRAB-OABC","-451"
"2023-11-01","PDTRAB-SLB","128"
"2023-11-01","PDTRAB-SLBC","97"
"2023-11-01","PDTRAB-TOT","2097"
"2023-11-01","PDTRAB-TOTC","-190"
"2023-11-01","PDTRCS-CP","98818"
"2023-11-01","PDTRCS-CPC","-6378"
"2023-11-01","PDTRCS-TOT","130722"
"2023-11-01","PDTRCS-TOTC","-30"
"2023-11-01","PDTRCSIND-BELG10","745"
"2023-11-01","PDTRCSIND-BELG10C","191"
"2023-11-01","PDTRCSIND-BELG13","3410"
"2023-11-01","PDTRCSIND-BELG13C","998"
"2023-11-01","PDTRCSIND-BELG5L10","3531"
"2023-11-01","PDTRCSIND-BELG5L10C","-177"
"2023-11-01","PDTRCSIND-BELL13","286"
"2023-11-01","PDTRCSIND-BELL13C","113"
"2023-11-01","PDTRCSIND-G10","8264"
"2023-11-01","PDTRCSIND-G10C","2418"
"2023-11-01","PDTRCSIND-G13","6129"
"2023-11-01","PDTRCSIND-G13C","733"
"2023-11-01","PDTRCSIND-G5L10","7534"
"2023-11-01","PDTRCSIND-G5L10C","1996"
"2023-11-01","PDTRCSIND-L13","2005"
"2023-11-01","PDTRCSIND-L13C","76"
"2023-11-01","PDTRFGSXM-C","8160"
"2023-11-01","PDTRFGSXM-CC","-1175"
"2023-11-01","PDTRFGSXM-DN","28306"
"2023-11-01","PDTRFGSXM-DNC","-4066"
"2023-11-01","PDTRFGSXM-TOT","36466"
"2023-11-01","PDTRFGSXM-TOTC","-5241"
"2023-11-01","PDTRGS-EXTB","230956"
"2023-11-01","PDTRGS-EXTBC","40061"
"2023-11-01","PDTRGS-FRN","7357"
"2023-11-01","PDTRGS-FRNC","1688"
"2023-11-01","PDTRGSC-G11L21","13749"
"2023-11-01","PDTRGSC-G11L21C","-1429"
"2023-11-01","PDTRGSC-G21","38590"
"2023-11-01","PDTRGSC-G21C","-533"
"2023-11-01","PDTRGSC-G2L3","50117"
"2023-11-01","PDTRGSC-G2L3C","9377"
"2023-11-01","PDTRGSC-G3L6","163137"
"2023-11-01","PDTRGSC-G3L6C","34135"
"2023-11-01","PDTRGSC-G6L7","60993"
"2023-11-01","PDTRGSC-G6L7C","31728"
"2023-11-01","PDTRGSC-G7L11","86494"
"2023-11-01","PDTRGSC-G7L11C","17063"
"2023-11-01","PDTRGSC-L2","94908"
"2023-11-01","PDTRGSC-L2C","-2834"
"2023-11-01","PDTRGST-TOT","770720"
"2023-11-01","PDTRGST-TOTC","133259"
"2023-11-01","PDTRMBS-TOT","214482"
"2023-11-01","PDTRMBS-TOTC","-26619"
